Interaction_ID,Customer_ID,Interaction_Date,Channel,Team,Customer_Segment,Issue_Category,Priority,Agent_ID,Previous_Interactions,Response_Time_Min,Resolution_Time_Min,Escalated,FCR,CSAT,Resolution_Status,SLA_Breached
INT126749,CUST14814,2025-05-06 18:00:00,Chat,Retention,Consumer,Delivery,High,AG177,4,30.9,173.6,1,1,5.0,Resolved,0
INT127939,CUST10211,2025-05-06 19:00:00,Phone,Retention,Consumer,Technical Issue,Low,AG142,2,43.4,98.6,0,1,5.0,Resolved,0
INT113279,CUST17192,2025-05-06 19:00:00,Social Media,Technical Support,Premium,Complaint,Low,AG146,2,97.5,106.9,0,1,5.0,Resolved,0
INT109348,CUST18422,2025-05-06 19:00:00,Email,Tier 1 Support,Premium,Complaint,High,AG158,1,214.2,58.8,0,0,4.0,Resolved,1
INT102063,CUST11874,2025-05-06 20:00:00,Social Media,Tier 1 Support,Enterprise,Cancellation,High,AG115,3,85.0,83.5,1,0,3.0,Transferred,1
INT122871,CUST10624,2025-05-06 20:00:00,Web,Tier 2 Support,Consumer,Product Inquiry,High,AG121,0,88.1,128.0,0,1,4.0,Resolved,1
INT108526,CUST10587,2025-05-06 20:00:00,Chat,Technical Support,Consumer,Cancellation,Critical,AG145,1,14.7,229.8,1,1,4.0,Pending,0
INT106253,CUST17901,2025-05-06 20:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,Medium,AG109,6,29.3,47.4,0,1,4.0,Resolved,0
INT118672,CUST13127,2025-05-06 21:00:00,Web,Tier 1 Support,Consumer,Cancellation,Medium,AG136,2,36.7,58.3,0,1,4.0,Resolved,0
INT113294,CUST15578,2025-05-06 22:00:00,Web,Tier 1 Support,Small Business,Billing,Medium,AG115,0,79.0,47.7,0,1,5.0,Resolved,0
INT110546,CUST13413,2025-05-06 22:00:00,Chat,Retention,Consumer,Billing,High,AG123,1,31.0,121.8,0,1,5.0,Pending,0
INT123507,CUST13020,2025-05-06 22:00:00,Phone,Tier 1 Support,Consumer,Account Access,High,AG154,1,58.4,107.2,0,1,4.0,Resolved,0
INT118701,CUST16163,2025-05-06 22:00:00,Chat,Billing,Consumer,Account Access,Medium,AG162,3,56.2,82.4,0,1,5.0,Resolved,0
INT123360,CUST17786,2025-05-07 00:00:00,Web,Billing,Consumer,Complaint,Low,AG162,3,42.3,76.4,0,1,5.0,Resolved,0
INT123721,CUST14048,2025-05-07 01:00:00,Email,Tier 1 Support,Consumer,Complaint,Medium,AG121,4,193.8,106.3,0,1,4.0,Resolved,1
INT123667,CUST17506,2025-05-07 02:00:00,Email,Tier 2 Support,Consumer,Cancellation,Low,AG145,1,213.0,208.2,0,1,3.0,Resolved,0
INT113221,CUST11740,2025-05-07 02:00:00,Social Media,Tier 2 Support,Small Business,Cancellation,Medium,AG107,1,115.9,134.8,1,0,3.0,Resolved,0
INT126448,CUST12229,2025-05-07 02:00:00,Phone,Tier 1 Support,Consumer,Technical Issue,Medium,AG172,4,20.3,43.5,0,1,5.0,Pending,0
INT101737,CUST16903,2025-05-07 04:00:00,Social Media,Tier 2 Support,Consumer,Technical Issue,Low,AG146,3,87.9,164.8,0,1,5.0,Pending,0
INT117860,CUST11998,2025-05-07 05:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,Low,AG180,0,41.6,65.6,0,1,5.0,Resolved,0
INT117223,CUST18921,2025-05-07 05:00:00,Chat,Tier 1 Support,Enterprise,Product Inquiry,Medium,AG141,2,43.2,63.0,0,1,5.0,Resolved,0
INT119526,CUST18302,2025-05-07 06:00:00,Phone,Tier 1 Support,Consumer,Technical Issue,Medium,AG126,6,24.2,87.5,0,1,4.0,Resolved,0
INT101487,CUST16777,2025-05-07 06:00:00,Chat,Billing,Consumer,Product Inquiry,Medium,AG108,1,27.1,111.4,0,0,5.0,Resolved,0
INT114152,CUST12579,2025-05-07 06:00:00,Email,Technical Support,Premium,Product Inquiry,Medium,AG164,3,205.1,143.3,0,1,4.0,Resolved,1
INT117047,CUST16199,2025-05-07 06:00:00,Social Media,Tier 2 Support,Enterprise,Complaint,Medium,AG102,6,71.0,136.5,0,1,4.0,Resolved,0
INT127038,CUST14470,2025-05-07 08:00:00,Chat,Billing,Enterprise,Refund,Low,AG161,3,26.8,56.2,0,1,5.0,Resolved,0
INT118238,CUST15362,2025-05-07 08:00:00,Email,Tier 1 Support,Small Business,Account Access,Medium,AG113,2,189.6,40.1,0,1,4.0,Resolved,1
INT122206,CUST13037,2025-05-07 08:00:00,Web,Technical Support,Small Business,Technical Issue,High,AG161,2,79.4,203.8,0,1,4.0,Resolved,1
INT125892,CUST17788,2025-05-07 08:00:00,Email,Retention,Small Business,Complaint,Medium,AG151,1,245.3,114.3,0,1,4.0,Resolved,1
INT120922,CUST18846,2025-05-07 09:00:00,Chat,Billing,Enterprise,Technical Issue,Medium,AG178,2,15.5,83.3,0,1,5.0,Resolved,0
INT115051,CUST17019,2025-05-07 09:00:00,Email,Billing,Consumer,Product Inquiry,Medium,AG172,2,227.2,72.0,0,0,3.0,Resolved,1
INT123653,CUST12602,2025-05-07 10:00:00,Social Media,Tier 2 Support,Small Business,Cancellation,High,AG168,4,81.9,210.7,0,1,4.0,Resolved,1
INT119230,CUST10532,2025-05-07 10:00:00,Chat,Tier 2 Support,Enterprise,Technical Issue,Medium,AG178,4,28.5,95.4,0,0,5.0,Resolved,0
INT112118,CUST11260,2025-05-07 10:00:00,Social Media,Retention,Consumer,Billing,Low,AG148,2,93.5,87.0,0,1,4.0,Resolved,0
INT112720,CUST11376,2025-05-07 12:00:00,Phone,Technical Support,Consumer,Delivery,High,AG180,1,38.1,209.9,0,0,5.0,Resolved,0
INT126277,CUST10524,2025-05-07 12:00:00,Phone,Tier 1 Support,Consumer,Product Inquiry,Low,AG179,5,35.3,116.0,0,1,5.0,Resolved,0
INT121319,CUST14329,2025-05-07 12:00:00,Web,Technical Support,Enterprise,Delivery,Medium,AG120,5,53.5,131.9,1,1,3.0,Resolved,0
INT103066,CUST15007,2025-05-07 12:00:00,Social Media,Technical Support,Consumer,Cancellation,High,AG160,2,91.8,181.6,1,1,4.0,Resolved,1
INT120346,CUST14302,2025-05-07 13:00:00,Email,Tier 1 Support,Premium,Billing,Low,AG112,0,215.4,63.0,0,1,3.0,Resolved,0
INT121856,CUST17427,2025-05-07 13:00:00,Chat,Tier 2 Support,Enterprise,Delivery,Medium,AG155,1,59.9,122.2,0,1,5.0,Resolved,0
INT123474,CUST14659,2025-05-07 13:00:00,Email,Technical Support,Consumer,Product Inquiry,Low,AG132,4,247.2,125.4,0,1,3.0,Resolved,1
INT114063,CUST16762,2025-05-07 13:00:00,Phone,Tier 1 Support,Consumer,Technical Issue,Medium,AG125,4,46.3,41.1,0,1,5.0,Resolved,0
INT114996,CUST18213,2025-05-07 14:00:00,Chat,Tier 2 Support,Consumer,Complaint,High,AG115,1,37.5,160.4,1,1,4.0,Resolved,0
INT122033,CUST14438,2025-05-07 14:00:00,Chat,Tier 2 Support,Consumer,Billing,Medium,AG144,1,74.9,140.5,0,0,4.0,Resolved,0
INT120810,CUST12069,2025-05-07 15:00:00,Phone,Tier 1 Support,Consumer,Billing,High,AG161,2,22.4,60.8,0,1,4.0,Resolved,0
INT109477,CUST13486,2025-05-07 15:00:00,Phone,Technical Support,Small Business,Technical Issue,Critical,AG168,3,57.1,238.7,1,0,4.0,Pending,1
INT121675,CUST14227,2025-05-07 15:00:00,Phone,Tier 2 Support,Consumer,Account Access,High,AG143,1,32.2,135.6,0,1,5.0,Resolved,0
INT102835,CUST17817,2025-05-07 16:00:00,Email,Retention,Consumer,Technical Issue,Low,AG134,1,210.1,117.9,0,1,4.0,Resolved,0
INT102347,CUST16181,2025-05-07 17:00:00,Chat,Billing,Premium,Delivery,Low,AG163,3,34.5,58.8,0,1,4.0,Resolved,0
INT126982,CUST15725,2025-05-07 17:00:00,Social Media,Billing,Consumer,Cancellation,Medium,AG132,0,93.1,83.0,0,1,5.0,Resolved,0
INT113411,CUST14696,2025-05-07 17:00:00,Phone,Technical Support,Premium,Product Inquiry,High,AG157,1,69.5,236.6,0,1,4.0,Resolved,1
INT124768,CUST17575,2025-05-07 18:00:00,Chat,Tier 1 Support,Consumer,Refund,Medium,AG101,4,23.7,61.8,0,1,5.0,Resolved,0
INT118027,CUST18130,2025-05-07 18:00:00,Chat,Tier 1 Support,Enterprise,Technical Issue,Low,AG160,3,22.6,70.3,0,1,5.0,Pending,0
INT101874,CUST16101,2025-05-07 18:00:00,Email,Billing,Enterprise,Complaint,Medium,AG138,2,200.2,64.7,1,0,4.0,Transferred,1
INT126487,CUST13489,2025-05-07 19:00:00,Email,Tier 2 Support,Premium,Account Access,Low,AG173,1,205.5,111.0,0,1,3.0,Resolved,0
INT109239,CUST11762,2025-05-07 20:00:00,Chat,Tier 1 Support,Consumer,Refund,Medium,AG130,1,85.4,70.7,0,0,4.0,Resolved,0
INT124647,CUST17566,2025-05-07 20:00:00,Email,Billing,Consumer,Billing,Low,AG163,3,198.6,107.5,0,1,5.0,Pending,0
INT121316,CUST18191,2025-05-07 20:00:00,Chat,Billing,Consumer,Technical Issue,Medium,AG154,4,20.7,93.5,0,1,4.0,Resolved,0
INT120798,CUST12591,2025-05-07 20:00:00,Web,Technical Support,Consumer,Complaint,High,AG144,4,67.8,179.1,0,1,4.0,Resolved,1
INT114441,CUST17270,2025-05-07 20:00:00,Chat,Tier 1 Support,Premium,Delivery,Low,AG159,1,28.7,40.2,0,1,5.0,Resolved,0
INT115186,CUST15931,2025-05-07 22:00:00,Email,Tier 2 Support,Consumer,Billing,High,AG103,1,224.4,162.7,0,1,4.0,Resolved,1
INT116869,CUST10294,2025-05-07 22:00:00,Email,Tier 1 Support,Premium,Cancellation,Medium,AG160,3,208.8,56.9,1,1,3.0,Resolved,1
INT129836,CUST16438,2025-05-07 22:00:00,Web,Tier 1 Support,Consumer,Product Inquiry,High,AG174,4,34.7,80.0,1,0,4.0,Resolved,0
INT115604,CUST10092,2025-05-07 22:00:00,Chat,Tier 1 Support,Enterprise,Technical Issue,Medium,AG132,0,36.5,71.5,0,0,4.0,Pending,0
INT121035,CUST10033,2025-05-07 22:00:00,Phone,Tier 1 Support,Enterprise,Technical Issue,Low,AG120,4,86.1,49.8,1,0,4.0,Pending,0
INT106062,CUST15266,2025-05-07 22:00:00,Phone,Billing,Consumer,Refund,Low,AG150,7,31.1,68.2,0,1,4.0,Resolved,0
INT122447,CUST17596,2025-05-08 00:00:00,Phone,Tier 1 Support,Consumer,Delivery,High,AG137,2,29.7,79.6,0,1,5.0,Resolved,0
INT116838,CUST17284,2025-05-08 01:00:00,Chat,Tier 2 Support,Small Business,Technical Issue,Critical,AG178,7,29.8,222.1,0,1,4.0,Resolved,0
INT122339,CUST12409,2025-05-08 03:00:00,Web,Retention,Consumer,Delivery,Low,AG128,1,53.6,82.7,0,1,4.0,Resolved,0
INT127581,CUST18029,2025-05-08 03:00:00,Email,Tier 1 Support,Consumer,Account Access,High,AG156,3,199.2,74.6,1,0,3.0,Resolved,1
INT121518,CUST16465,2025-05-08 03:00:00,Chat,Retention,Consumer,Billing,Medium,AG137,3,20.7,152.6,1,0,5.0,Transferred,0
INT100542,CUST16745,2025-05-08 03:00:00,Email,Tier 1 Support,Small Business,Billing,Low,AG119,1,234.0,77.1,1,1,3.0,Transferred,0
INT128863,CUST16809,2025-05-08 04:00:00,Email,Technical Support,Small Business,Technical Issue,Low,AG165,1,219.2,201.1,0,1,4.0,Resolved,0
INT126781,CUST15020,2025-05-08 04:00:00,Phone,Technical Support,Consumer,Billing,Medium,AG101,1,47.9,190.3,1,1,3.0,Resolved,0
INT126176,CUST17883,2025-05-08 04:00:00,Social Media,Tier 1 Support,Consumer,Product Inquiry,Low,AG160,3,86.5,46.1,0,1,4.0,Resolved,0
INT118719,CUST14766,2025-05-08 04:00:00,Phone,Tier 2 Support,Premium,Product Inquiry,Medium,AG124,3,29.3,149.3,0,1,5.0,Resolved,0
INT112873,CUST12780,2025-05-08 04:00:00,Phone,Tier 1 Support,Premium,Cancellation,Medium,AG138,4,41.4,55.1,0,1,5.0,Resolved,0
INT110048,CUST14766,2025-05-08 04:00:00,Chat,Billing,Small Business,Delivery,Low,AG103,4,21.7,81.9,1,0,3.0,Pending,0
INT104190,CUST10965,2025-05-08 04:00:00,Email,Technical Support,Small Business,Technical Issue,Low,AG162,1,218.0,120.6,0,1,3.0,Resolved,0
INT101622,CUST18218,2025-05-08 06:00:00,Email,Billing,Consumer,Technical Issue,Low,AG179,1,214.4,79.1,0,0,4.0,Resolved,0
INT127606,CUST12083,2025-05-08 06:00:00,Web,Retention,Enterprise,Product Inquiry,Low,AG149,1,50.2,87.8,0,1,5.0,Resolved,0
INT110039,CUST16786,2025-05-08 07:00:00,Email,Tier 1 Support,Consumer,Billing,Low,AG153,3,217.1,112.8,1,0,4.0,Resolved,0
INT117907,CUST17343,2025-05-08 07:00:00,Chat,Tier 1 Support,Consumer,Cancellation,Medium,AG153,3,29.1,87.3,0,1,5.0,Resolved,0
INT119566,CUST12164,2025-05-08 07:00:00,Web,Tier 1 Support,Small Business,Product Inquiry,Medium,AG111,1,54.7,63.9,0,1,4.0,Resolved,0
INT126369,CUST14288,2025-05-08 07:00:00,Web,Tier 1 Support,Enterprise,Cancellation,Low,AG165,3,44.3,96.9,0,1,4.0,Resolved,0
INT102238,CUST15083,2025-05-08 08:00:00,Email,Tier 1 Support,Consumer,Technical Issue,Medium,AG139,1,209.9,40.5,0,1,4.0,Resolved,1
INT117104,CUST11250,2025-05-08 08:00:00,Chat,Technical Support,Consumer,Technical Issue,Medium,AG173,1,46.4,163.5,0,1,4.0,Resolved,0
INT117628,CUST14067,2025-05-08 09:00:00,Email,Tier 1 Support,Small Business,Billing,Low,AG151,1,198.8,41.3,0,1,4.0,Resolved,0
INT111893,CUST13523,2025-05-08 09:00:00,Email,Tier 2 Support,Small Business,Product Inquiry,High,AG165,3,242.1,152.0,0,1,4.0,Pending,1
INT109453,CUST11269,2025-05-08 09:00:00,Phone,Technical Support,Consumer,Complaint,Medium,AG148,0,38.6,129.1,0,1,5.0,Resolved,0
INT128854,CUST12631,2025-05-08 11:00:00,Phone,Technical Support,Premium,Complaint,Medium,AG118,2,43.1,133.4,0,0,5.0,Resolved,0
INT115780,CUST17227,2025-05-08 12:00:00,Chat,Tier 1 Support,Small Business,Account Access,Low,AG116,2,25.7,55.2,0,0,4.0,Resolved,0
INT111577,CUST12097,2025-05-08 13:00:00,Chat,Tier 1 Support,Consumer,Refund,Low,AG165,1,18.8,45.9,0,1,4.0,Resolved,0
INT122563,CUST18949,2025-05-08 13:00:00,Email,Tier 1 Support,Consumer,Billing,Low,AG165,3,201.2,37.9,0,1,4.0,Resolved,0
INT122421,CUST12648,2025-05-08 13:00:00,Web,Retention,Enterprise,Cancellation,High,AG162,1,45.5,140.9,0,0,4.0,Resolved,0
INT126173,CUST11224,2025-05-08 14:00:00,Social Media,Billing,Consumer,Product Inquiry,High,AG176,1,105.5,155.0,0,1,4.0,Resolved,1
INT103673,CUST13808,2025-05-08 14:00:00,Social Media,Tier 1 Support,Consumer,Product Inquiry,Medium,AG131,1,79.6,60.8,0,1,5.0,Pending,0
INT118615,CUST17068,2025-05-08 15:00:00,Chat,Technical Support,Premium,Product Inquiry,Medium,AG138,4,69.8,163.1,1,1,4.0,Resolved,0
INT112096,CUST15162,2025-05-08 16:00:00,Phone,Tier 2 Support,Consumer,Product Inquiry,Medium,AG103,2,27.4,109.7,0,1,5.0,Resolved,0
INT115184,CUST16420,2025-05-08 17:00:00,Chat,Retention,Consumer,Complaint,Medium,AG141,0,38.8,105.4,0,1,5.0,Resolved,0
INT120630,CUST15311,2025-05-08 17:00:00,Phone,Tier 1 Support,Small Business,Cancellation,Low,AG135,2,62.2,69.7,0,0,5.0,Resolved,0
INT115626,CUST17156,2025-05-08 17:00:00,Social Media,Tier 1 Support,Consumer,Delivery,High,AG176,0,120.3,58.6,0,1,4.0,Resolved,1
INT116224,CUST12232,2025-05-08 18:00:00,Social Media,Tier 1 Support,Premium,Billing,Medium,AG173,2,117.5,113.3,0,1,5.0,Resolved,0
INT123737,CUST11820,2025-05-08 18:00:00,Phone,Tier 1 Support,Consumer,Refund,Critical,AG136,2,15.8,78.2,0,1,4.0,Pending,0
INT101744,CUST10050,2025-05-08 19:00:00,Web,Technical Support,Consumer,Account Access,Low,AG127,1,49.3,102.4,0,1,4.0,Resolved,0
INT115191,CUST14390,2025-05-08 19:00:00,Social Media,Tier 1 Support,Consumer,Product Inquiry,Medium,AG124,1,72.3,60.8,1,1,4.0,Resolved,0
INT120407,CUST13339,2025-05-08 21:00:00,Phone,Technical Support,Enterprise,Delivery,Medium,AG132,2,79.0,167.1,0,1,4.0,Pending,0
INT129345,CUST15819,2025-05-08 22:00:00,Web,Billing,Enterprise,Technical Issue,Medium,AG107,3,54.2,79.9,0,0,5.0,Pending,0
INT118585,CUST10578,2025-05-08 23:00:00,Phone,Tier 2 Support,Consumer,Product Inquiry,Low,AG105,1,19.5,96.1,0,1,5.0,Resolved,0
INT117652,CUST11538,2025-05-08 23:00:00,Phone,Technical Support,Consumer,Complaint,High,AG161,1,68.5,213.6,0,0,4.0,Pending,1
INT110701,CUST18210,2025-05-08 23:00:00,Chat,Tier 2 Support,Consumer,Refund,Low,AG107,3,42.7,106.5,0,1,5.0,Resolved,0
INT110257,CUST14922,2025-05-09 00:00:00,Chat,Tier 2 Support,Consumer,Delivery,Medium,AG160,2,31.4,125.0,0,0,5.0,Resolved,0
INT100846,CUST15214,2025-05-09 00:00:00,Phone,Tier 1 Support,Consumer,Account Access,Medium,AG124,3,24.4,49.8,0,0,4.0,Resolved,0
INT102638,CUST16064,2025-05-09 00:00:00,Phone,Retention,Enterprise,Cancellation,High,AG111,3,50.3,123.9,0,1,5.0,Resolved,0
INT106586,CUST13457,2025-05-09 00:00:00,Phone,Tier 1 Support,Enterprise,Complaint,Low,AG153,3,51.5,85.3,0,0,4.0,Resolved,0
INT101489,CUST14337,2025-05-09 00:00:00,Chat,Retention,Consumer,Complaint,Medium,AG128,2,48.5,99.4,0,1,5.0,Resolved,0
INT128659,CUST10526,2025-05-09 00:00:00,Email,Tier 2 Support,Premium,Cancellation,Low,AG124,1,230.1,94.7,1,1,3.0,Resolved,0
INT105314,CUST18829,2025-05-09 00:00:00,Phone,Billing,Premium,Product Inquiry,Medium,AG173,6,30.8,81.1,0,1,5.0,Resolved,0
INT100083,CUST11612,2025-05-09 01:00:00,Phone,Tier 2 Support,Premium,Delivery,Low,AG147,0,49.5,116.1,0,1,5.0,Resolved,0
INT128972,CUST17540,2025-05-09 01:00:00,Chat,Tier 2 Support,Consumer,Complaint,Medium,AG129,2,24.8,141.0,0,1,5.0,Resolved,0
INT105704,CUST14541,2025-05-09 02:00:00,Phone,Tier 1 Support,Small Business,Refund,Medium,AG122,3,38.5,72.5,0,1,5.0,Resolved,0
INT105201,CUST11337,2025-05-09 03:00:00,Chat,Technical Support,Consumer,Cancellation,Medium,AG115,3,23.1,167.8,0,1,4.0,Resolved,0
INT107018,CUST17523,2025-05-09 03:00:00,Web,Tier 1 Support,Small Business,Cancellation,Medium,AG134,2,35.3,36.3,1,0,4.0,Resolved,0
INT117992,CUST17033,2025-05-09 03:00:00,Web,Tier 1 Support,Consumer,Product Inquiry,Medium,AG108,4,84.2,48.5,0,0,4.0,Resolved,0
INT119532,CUST12388,2025-05-09 04:00:00,Phone,Tier 2 Support,Consumer,Product Inquiry,Medium,AG121,4,63.1,143.5,0,0,4.0,Pending,0
INT125346,CUST12965,2025-05-09 06:00:00,Phone,Billing,Consumer,Billing,High,AG164,3,29.2,74.9,0,0,4.0,Resolved,0
INT111161,CUST17070,2025-05-09 06:00:00,Email,Retention,Consumer,Billing,Medium,AG146,2,227.8,99.3,0,1,3.0,Resolved,1
INT120032,CUST13175,2025-05-09 07:00:00,Chat,Retention,Enterprise,Technical Issue,Low,AG113,4,16.6,111.3,0,0,5.0,Resolved,0
INT127716,CUST11746,2025-05-09 08:00:00,Email,Billing,Small Business,Complaint,Medium,AG119,1,201.6,128.0,0,1,4.0,Resolved,1
INT113815,CUST12308,2025-05-09 08:00:00,Email,Billing,Enterprise,Technical Issue,Medium,AG130,1,224.8,70.9,0,1,3.0,Resolved,1
INT108739,CUST18389,2025-05-09 09:00:00,Email,Tier 1 Support,Enterprise,Complaint,High,AG106,2,223.7,58.5,0,1,4.0,Pending,1
INT124778,CUST13036,2025-05-09 09:00:00,Email,Tier 1 Support,Premium,Technical Issue,Medium,AG149,4,243.7,87.4,0,1,4.0,Pending,1
INT102519,CUST13724,2025-05-09 09:00:00,Chat,Technical Support,Consumer,Technical Issue,Medium,AG136,1,17.5,146.3,0,0,4.0,Resolved,0
INT103412,CUST13046,2025-05-09 09:00:00,Email,Technical Support,Premium,Product Inquiry,Medium,AG122,3,202.4,130.8,1,0,3.0,Pending,1
INT120014,CUST11447,2025-05-09 09:00:00,Web,Billing,Enterprise,Cancellation,Medium,AG128,2,47.5,106.0,1,1,3.0,Resolved,0
INT116608,CUST11295,2025-05-09 09:00:00,Phone,Tier 2 Support,Small Business,Product Inquiry,Low,AG141,2,17.8,92.7,0,1,5.0,Pending,0
INT112962,CUST12926,2025-05-09 09:00:00,Web,Tier 1 Support,Consumer,Cancellation,Medium,AG137,4,73.7,68.2,0,1,4.0,Resolved,0
INT113554,CUST16041,2025-05-09 10:00:00,Email,Tier 1 Support,Consumer,Cancellation,Low,AG113,2,198.2,49.5,1,0,4.0,Resolved,0
INT109049,CUST10049,2025-05-09 11:00:00,Email,Tier 1 Support,Premium,Technical Issue,High,AG160,3,225.7,71.0,0,1,4.0,Resolved,1
INT114424,CUST14254,2025-05-09 11:00:00,Chat,Technical Support,Small Business,Refund,Medium,AG137,3,17.9,171.5,0,1,5.0,Resolved,0
INT111351,CUST16168,2025-05-09 11:00:00,Phone,Tier 1 Support,Small Business,Account Access,Medium,AG170,2,22.3,39.8,1,1,5.0,Resolved,0
INT103429,CUST17491,2025-05-09 11:00:00,Chat,Retention,Consumer,Account Access,Low,AG155,0,26.7,66.1,0,1,5.0,Resolved,0
INT119764,CUST11209,2025-05-09 11:00:00,Chat,Tier 2 Support,Small Business,Technical Issue,Medium,AG136,0,50.8,155.8,0,0,5.0,Resolved,0
INT111083,CUST17381,2025-05-09 11:00:00,Email,Tier 2 Support,Consumer,Product Inquiry,Medium,AG151,3,234.1,117.5,0,1,4.0,Resolved,1
INT102942,CUST15606,2025-05-09 11:00:00,Email,Tier 1 Support,Small Business,Refund,Low,AG156,2,215.3,37.2,0,0,4.0,Resolved,0
INT121542,CUST10877,2025-05-09 11:00:00,Phone,Tier 2 Support,Consumer,Technical Issue,Medium,AG156,0,55.9,126.9,0,1,5.0,Resolved,0
INT120190,CUST10276,2025-05-09 12:00:00,Phone,Retention,Small Business,Cancellation,Medium,AG170,2,33.0,78.9,0,1,5.0,Resolved,0
INT108251,CUST18822,2025-05-09 12:00:00,Email,Technical Support,Enterprise,Delivery,Low,AG158,2,212.2,151.6,0,1,3.0,Resolved,0
INT121385,CUST15957,2025-05-09 13:00:00,Phone,Tier 1 Support,Premium,Complaint,Medium,AG147,1,48.7,37.5,0,1,4.0,Resolved,0
INT108830,CUST14697,2025-05-09 13:00:00,Email,Tier 1 Support,Small Business,Delivery,Medium,AG159,2,205.8,49.9,0,1,5.0,Pending,1
INT129255,CUST16242,2025-05-09 14:00:00,Email,Retention,Consumer,Delivery,Low,AG148,2,235.7,72.8,0,1,4.0,Resolved,0
INT124392,CUST12576,2025-05-09 14:00:00,Web,Technical Support,Consumer,Refund,Low,AG164,4,50.2,116.6,0,1,5.0,Resolved,0
INT121466,CUST15992,2025-05-09 14:00:00,Chat,Tier 1 Support,Small Business,Technical Issue,Low,AG169,0,53.8,38.3,0,1,5.0,Resolved,0
INT101171,CUST10618,2025-05-09 14:00:00,Chat,Tier 1 Support,Enterprise,Complaint,Medium,AG149,0,27.0,69.5,0,0,4.0,Resolved,0
INT119036,CUST12101,2025-05-09 15:00:00,Phone,Retention,Enterprise,Technical Issue,High,AG121,2,38.4,115.4,0,0,5.0,Resolved,0
INT112715,CUST13525,2025-05-09 16:00:00,Social Media,Tier 1 Support,Small Business,Delivery,High,AG153,6,101.6,96.7,0,1,3.0,Resolved,1
INT114115,CUST17378,2025-05-09 16:00:00,Phone,Tier 1 Support,Consumer,Product Inquiry,High,AG151,4,45.8,85.3,1,1,4.0,Transferred,0
INT123928,CUST10237,2025-05-09 16:00:00,Web,Tier 2 Support,Consumer,Product Inquiry,Medium,AG118,3,62.5,103.9,1,1,4.0,Pending,0
INT108970,CUST15822,2025-05-09 17:00:00,Phone,Tier 2 Support,Small Business,Product Inquiry,Medium,AG124,1,38.8,139.1,0,1,4.0,Resolved,0
INT122711,CUST11758,2025-05-09 17:00:00,Email,Tier 2 Support,Enterprise,Account Access,Medium,AG106,1,228.1,145.0,0,1,,Resolved,1
INT123856,CUST16395,2025-05-09 18:00:00,Email,Retention,Consumer,Complaint,Medium,AG113,1,213.6,82.9,1,1,3.0,Pending,1
INT119002,CUST15731,2025-05-09 18:00:00,Social Media,Tier 1 Support,Consumer,Billing,Low,AG162,5,99.0,111.1,0,1,4.0,Resolved,0
INT112219,CUST14342,2025-05-09 19:00:00,Email,Technical Support,Consumer,Delivery,Medium,AG138,1,214.8,148.6,1,1,3.0,Resolved,1
INT123200,CUST13502,2025-05-09 19:00:00,Phone,Tier 1 Support,Small Business,Delivery,Medium,AG130,3,24.2,78.5,0,1,4.0,Resolved,0
INT114440,CUST11845,2025-05-09 20:00:00,Phone,Tier 1 Support,Enterprise,Billing,Low,AG149,1,55.8,47.5,0,1,4.0,Resolved,0
INT107197,CUST17922,2025-05-09 20:00:00,Phone,Billing,Premium,Account Access,Low,AG141,1,21.8,60.9,0,1,5.0,Resolved,0
INT102213,CUST18833,2025-05-09 21:00:00,Email,Billing,Consumer,Account Access,Medium,AG138,1,217.6,74.6,0,1,4.0,Resolved,1
INT125848,CUST13620,2025-05-09 21:00:00,Phone,Billing,Consumer,Technical Issue,High,AG149,5,26.5,90.2,1,1,4.0,Transferred,0
INT127755,CUST12980,2025-05-09 21:00:00,Chat,Technical Support,Small Business,Account Access,High,AG121,3,33.8,178.0,0,0,5.0,Resolved,0
INT116004,CUST14757,2025-05-09 21:00:00,Chat,Billing,Small Business,Refund,Medium,AG128,3,40.5,77.0,0,1,4.0,Resolved,0
INT115019,CUST18593,2025-05-09 21:00:00,Phone,Tier 1 Support,Consumer,Delivery,Medium,AG178,2,18.1,90.0,0,1,5.0,Pending,0
INT105399,CUST11686,2025-05-09 21:00:00,Phone,Technical Support,Premium,Product Inquiry,Low,AG179,0,76.6,120.7,0,0,4.0,Resolved,0
INT113684,CUST18911,2025-05-09 22:00:00,Chat,Retention,Small Business,Technical Issue,Low,AG142,2,37.2,119.5,0,0,5.0,Resolved,0
INT121089,CUST13878,2025-05-09 22:00:00,Email,Tier 1 Support,Consumer,Technical Issue,Medium,AG130,2,197.5,61.3,1,0,4.0,Resolved,1
INT126304,CUST13556,2025-05-09 22:00:00,Chat,Tier 1 Support,Consumer,Refund,Critical,AG130,3,36.5,93.6,0,1,4.0,Resolved,1
INT116408,CUST18088,2025-05-09 23:00:00,Chat,Technical Support,Small Business,Refund,Medium,AG171,2,29.4,144.4,0,1,5.0,Resolved,0
INT111116,CUST10961,2025-05-09 23:00:00,Phone,Billing,Consumer,Product Inquiry,Low,AG111,5,48.5,68.1,0,1,4.0,Resolved,0
INT107814,CUST11788,2025-05-10 00:00:00,Phone,Billing,Consumer,Account Access,Low,AG139,3,22.7,53.3,0,1,4.0,Resolved,0
