Interaction_ID,Date,Agent,Issue_Type,Priority,Channel,Response_Time_Minutes,Resolution_Time_Hours,Resolution_Status,FCR,Escalated,Quality_Score,CSAT,Compliance_Score
INT-03837,2025-01-24,Agent_05,Product Defect,Medium,Chat,115.2,55.1,Resolved,No,No,67.9,4,87.7
INT-00210,2025-01-24,Agent_10,Login Issue,Low,WhatsApp,55.2,20.3,Resolved,Yes,No,83.9,4,88.6
INT-00480,2025-01-24,Agent_04,Refund Issue,Low,Phone,106.9,18.1,Resolved,Yes,No,85.4,5,88.9
INT-02736,2025-01-24,Agent_16,App Crash,Medium,Chat,126.4,45.1,Resolved,No,No,75.9,4,89.3
INT-04360,2025-01-24,Agent_14,General Inquiry,Low,WhatsApp,30.5,93.0,Resolved,Yes,No,84.0,4,95.0
INT-04127,2025-01-24,Agent_20,General Inquiry,Medium,WhatsApp,94.3,43.9,In Progress,No,No,86.8,5,97.8
INT-01892,2025-01-24,Agent_12,Delivery Delay,High,WhatsApp,119.5,36.3,Resolved,Yes,No,84.2,4,94.0
INT-04132,2025-01-24,Agent_01,Account Blocked,Medium,Email,65.8,34.5,Resolved,Yes,No,73.5,4,88.5
INT-01731,2025-01-24,Agent_14,Refund Issue,Low,Chat,28.8,40.4,Resolved,No,No,79.4,4,89.9
INT-04131,2025-01-24,Agent_05,Product Defect,Low,Chat,25.6,15.5,Resolved,Yes,No,79.4,4,85.3
INT-00082,2025-01-24,Agent_07,Product Defect,High,Chat,170.8,68.9,In Progress,Yes,No,78.8,4,88.5
INT-04332,2025-01-24,Agent_07,General Inquiry,Medium,WhatsApp,116.3,11.7,Resolved,Yes,No,91.0,4,96.0
INT-02256,2025-01-24,Agent_17,Refund Issue,Medium,Chat,43.5,32.1,Resolved,Yes,No,88.9,5,94.3
INT-01751,2025-01-24,Agent_01,General Inquiry,Medium,Phone,45.3,44.0,In Progress,No,No,73.8,4,95.1
INT-03506,2025-01-24,Agent_08,Payment Issue,Medium,Phone,126.2,79.9,Resolved,No,No,65.0,4,87.8
INT-02816,2025-01-24,Agent_18,Account Blocked,Critical,Chat,81.0,84.2,Resolved,No,No,76.4,5,95.9
INT-02714,2025-01-24,Agent_07,Account Blocked,Medium,Phone,63.8,36.9,Escalated,Yes,Yes,78.6,4,89.3
INT-02665,2025-01-25,Agent_05,Delivery Delay,Medium,Email,80.0,25.0,Resolved,Yes,No,80.4,4,87.5
INT-04408,2025-01-25,Agent_04,Product Defect,Medium,Chat,58.9,26.6,Resolved,Yes,No,82.3,5,91.6
INT-01416,2025-01-25,Agent_01,Payment Issue,High,Email,54.6,35.2,Resolved,No,No,62.5,4,100.0
INT-00570,2025-01-25,Agent_15,Login Issue,Low,Phone,149.5,37.8,Resolved,No,No,77.0,4,87.9
INT-02408,2025-01-25,Agent_09,Refund Issue,Medium,Email,69.0,55.6,In Progress,Yes,No,75.8,4,96.1
INT-04173,2025-01-25,Agent_14,Product Defect,High,Phone,130.2,34.1,Resolved,Yes,No,79.6,4,89.2
INT-00339,2025-01-25,Agent_05,Delivery Delay,Medium,Email,134.7,56.2,Resolved,Yes,No,80.3,4,93.2
INT-01861,2025-01-25,Agent_06,General Inquiry,Medium,Chat,67.3,15.3,Resolved,Yes,No,91.3,5,86.0
INT-04674,2025-01-25,Agent_04,Refund Issue,Low,Phone,38.2,16.2,Resolved,Yes,No,77.5,4,94.8
INT-00811,2025-01-25,Agent_08,Delivery Delay,High,Phone,81.5,35.6,Escalated,Yes,No,84.4,5,94.7
INT-03127,2025-01-25,Agent_12,Delivery Delay,Medium,Email,59.9,94.0,Resolved,Yes,No,72.2,5,92.4
INT-03685,2025-01-25,Agent_04,App Crash,Medium,Phone,111.0,29.3,Resolved,No,No,70.6,4,89.8
INT-01389,2025-01-25,Agent_14,General Inquiry,Medium,WhatsApp,101.6,21.8,Resolved,Yes,No,93.5,5,90.6
INT-01579,2025-01-25,Agent_18,Login Issue,Medium,Phone,74.3,14.7,Resolved,Yes,No,83.6,5,99.0
INT-04682,2025-01-25,Agent_04,General Inquiry,High,Email,240.0,33.2,Resolved,No,No,68.8,3,92.8
INT-03032,2025-01-25,Agent_19,Refund Issue,Low,Chat,43.9,17.8,Escalated,Yes,No,87.8,5,97.6
INT-01163,2025-01-25,Agent_18,General Inquiry,Medium,Chat,80.8,47.4,Resolved,Yes,No,100.0,5,92.7
INT-03919,2025-01-25,Agent_20,General Inquiry,Critical,Email,139.9,56.8,Escalated,Yes,Yes,82.0,4,86.2
INT-02387,2025-01-25,Agent_18,General Inquiry,High,Chat,47.3,42.1,In Progress,Yes,No,86.4,4,91.1
INT-01730,2025-01-25,Agent_09,Refund Issue,High,Email,57.4,41.0,In Progress,Yes,No,77.4,5,95.6
INT-02403,2025-01-25,Agent_20,Account Blocked,High,Phone,27.2,31.8,Resolved,No,No,77.5,5,95.1
INT-03035,2025-01-25,Agent_06,Login Issue,High,Chat,37.5,64.9,Resolved,Yes,No,81.3,4,96.7
INT-02388,2025-01-25,Agent_03,Account Blocked,Low,WhatsApp,115.0,21.9,In Progress,Yes,No,84.7,4,93.9
INT-00888,2025-01-25,Agent_01,App Crash,Medium,Email,88.5,27.7,In Progress,No,No,73.4,4,88.5
INT-04901,2025-01-25,Agent_01,Product Defect,Critical,Phone,89.1,51.1,Resolved,Yes,No,62.9,4,90.8
INT-01308,2025-01-25,Agent_11,Payment Issue,Low,Chat,89.7,17.0,Resolved,Yes,No,90.4,5,86.8
INT-03618,2025-01-25,Agent_16,Account Blocked,Low,Email,135.9,33.8,In Progress,Yes,No,82.5,4,94.3
INT-01177,2025-01-25,Agent_16,Account Blocked,Medium,WhatsApp,32.9,45.2,Escalated,Yes,No,92.0,5,86.9
INT-02142,2025-01-25,Agent_11,General Inquiry,Medium,Email,108.8,34.8,Resolved,Yes,No,83.3,4,91.4
INT-03774,2025-01-25,Agent_07,General Inquiry,High,Phone,75.8,32.3,Resolved,Yes,No,78.2,5,100.0
INT-00885,2025-01-25,Agent_06,App Crash,Medium,Phone,102.0,25.5,Resolved,Yes,No,79.2,4,91.8
INT-04659,2025-01-26,Agent_09,Login Issue,High,Email,118.2,42.7,Resolved,Yes,No,73.7,4,89.7
INT-02113,2025-01-26,Agent_16,General Inquiry,Medium,Chat,97.0,19.1,Resolved,Yes,No,95.7,5,94.3
INT-04679,2025-01-26,Agent_11,General Inquiry,Medium,Phone,35.2,29.4,Resolved,Yes,No,87.3,5,89.9
INT-00850,2025-01-26,Agent_11,General Inquiry,High,Chat,220.6,53.3,Escalated,Yes,No,77.8,4,97.1
INT-04096,2025-01-26,Agent_10,App Crash,Medium,Chat,120.4,75.6,Resolved,Yes,No,82.7,4,88.9
INT-01098,2025-01-26,Agent_17,Login Issue,Medium,Email,83.0,22.3,Resolved,Yes,No,84.8,4,99.3
INT-02496,2025-01-26,Agent_08,Login Issue,Medium,Phone,39.3,19.7,Resolved,Yes,No,92.3,5,95.7
INT-04981,2025-01-26,Agent_04,App Crash,Medium,Email,102.2,48.3,In Progress,Yes,No,87.9,4,89.2
INT-01924,2025-01-26,Agent_06,Account Blocked,High,WhatsApp,157.3,80.8,Resolved,No,No,71.9,4,94.3
INT-03610,2025-01-26,Agent_04,Delivery Delay,Medium,Email,86.1,25.9,Resolved,Yes,No,78.7,5,89.8
INT-00840,2025-01-26,Agent_20,General Inquiry,Low,WhatsApp,63.8,21.5,In Progress,No,No,94.4,5,96.1
INT-03938,2025-01-26,Agent_12,Delivery Delay,Low,Chat,92.0,35.5,Resolved,Yes,No,93.8,5,87.9
INT-02201,2025-01-26,Agent_14,Payment Issue,Critical,Email,123.2,66.9,In Progress,Yes,No,83.3,4,89.7
INT-00712,2025-01-26,Agent_16,Login Issue,Medium,Phone,131.4,33.9,Resolved,Yes,No,89.4,4,100.0
INT-02047,2025-01-26,Agent_08,Product Defect,Medium,Email,49.4,31.2,Escalated,No,No,71.4,4,93.4
INT-01998,2025-01-26,Agent_12,Refund Issue,High,Phone,135.6,88.2,Escalated,Yes,Yes,56.8,3,87.1
INT-02952,2025-01-26,Agent_01,Payment Issue,Critical,Chat,97.2,56.7,Resolved,Yes,No,80.9,4,94.4
INT-01430,2025-01-26,Agent_20,App Crash,Critical,Chat,128.4,46.5,In Progress,Yes,No,81.8,5,91.5
INT-04664,2025-01-26,Agent_14,App Crash,Low,WhatsApp,45.7,13.4,Resolved,Yes,No,99.5,5,91.8
INT-01358,2025-01-26,Agent_07,Delivery Delay,Low,Phone,54.0,28.9,Resolved,Yes,No,87.7,5,89.1
INT-03212,2025-01-26,Agent_02,General Inquiry,Low,Phone,149.7,6.9,Resolved,Yes,No,89.5,4,86.4
INT-00907,2025-01-26,Agent_13,Login Issue,High,Phone,106.4,96.0,In Progress,Yes,No,74.8,5,90.5
INT-03918,2025-01-26,Agent_18,Delivery Delay,Medium,WhatsApp,117.0,57.6,Escalated,Yes,Yes,78.8,4,89.4
INT-01693,2025-01-26,Agent_13,Refund Issue,Low,Chat,92.3,27.6,Resolved,Yes,No,90.7,4,95.7
INT-00945,2025-01-26,Agent_09,App Crash,Low,Email,91.7,22.6,Escalated,Yes,Yes,76.2,4,86.1
INT-01423,2025-01-26,Agent_16,App Crash,High,WhatsApp,124.3,45.7,Resolved,Yes,No,84.8,5,93.2
INT-00362,2025-01-26,Agent_08,Account Blocked,Medium,Phone,40.2,31.7,Resolved,Yes,No,76.7,4,93.5
INT-00716,2025-01-27,Agent_11,Account Blocked,High,Phone,127.7,63.8,Escalated,Yes,No,81.5,5,89.6
INT-04266,2025-01-27,Agent_04,Product Defect,Low,Phone,82.3,35.9,Escalated,Yes,No,80.3,5,89.3
INT-04382,2025-01-27,Agent_20,App Crash,High,Phone,32.3,43.7,Escalated,No,No,76.7,5,96.5
INT-03865,2025-01-27,Agent_06,Account Blocked,Medium,Chat,81.7,38.7,Resolved,Yes,No,84.6,4,87.5
INT-01744,2025-01-27,Agent_19,App Crash,Low,Email,86.1,49.7,Resolved,Yes,No,96.7,5,93.3
INT-04553,2025-01-27,Agent_06,General Inquiry,Low,WhatsApp,61.6,34.2,Resolved,Yes,No,87.3,4,86.5
INT-04300,2025-01-27,Agent_16,Account Blocked,Medium,Chat,70.1,20.1,In Progress,Yes,No,97.2,5,100.0
INT-02646,2025-01-27,Agent_10,Login Issue,Medium,Chat,71.4,55.4,Resolved,Yes,No,76.2,4,92.3
INT-03030,2025-01-27,Agent_10,Delivery Delay,High,Phone,92.2,56.0,In Progress,Yes,No,86.4,5,92.6
INT-00599,2025-01-27,Agent_15,Product Defect,Medium,Chat,160.5,36.8,In Progress,Yes,No,84.3,5,95.6
INT-02994,2025-01-27,Agent_06,App Crash,Low,Email,36.9,10.3,Resolved,Yes,No,85.8,4,88.8
INT-01336,2025-01-27,Agent_10,Payment Issue,Medium,Phone,62.9,79.8,Resolved,Yes,No,86.9,5,92.0
INT-00305,2025-01-27,Agent_02,Delivery Delay,Low,Chat,57.0,41.4,Resolved,Yes,No,75.0,4,82.3
INT-03245,2025-01-27,Agent_12,General Inquiry,High,Email,135.7,54.9,Resolved,Yes,No,83.7,5,93.9
INT-03671,2025-01-27,Agent_03,General Inquiry,Medium,WhatsApp,112.2,11.4,In Progress,Yes,No,84.8,5,96.2
INT-00165,2025-01-27,Agent_17,Delivery Delay,Medium,Phone,93.1,46.7,Resolved,Yes,No,86.0,4,95.0
INT-00306,2025-01-27,Agent_03,Product Defect,Medium,Email,67.8,18.6,Resolved,Yes,No,75.2,4,84.4
INT-00127,2025-01-27,Agent_06,Refund Issue,Low,Email,46.7,44.4,Escalated,Yes,Yes,74.0,4,92.9
INT-04432,2025-01-27,Agent_17,Payment Issue,Critical,WhatsApp,174.3,50.8,Resolved,Yes,No,82.7,4,88.8
INT-01711,2025-01-27,Agent_04,Login Issue,High,WhatsApp,81.5,81.0,In Progress,Yes,No,78.9,5,82.6
INT-01100,2025-01-27,Agent_12,App Crash,Critical,Phone,159.7,57.0,Resolved,Yes,No,75.5,4,93.5
INT-02155,2025-01-27,Agent_18,Product Defect,Low,Chat,158.2,27.7,Resolved,Yes,No,90.1,4,91.0
INT-04867,2025-01-27,Agent_03,Delivery Delay,Low,Chat,240.0,33.0,In Progress,Yes,No,82.0,4,90.0
INT-04128,2025-01-27,Agent_16,Payment Issue,Medium,Phone,73.8,49.0,Resolved,No,No,81.9,4,93.8
INT-02281,2025-01-27,Agent_13,Account Blocked,Medium,Chat,69.2,41.7,Resolved,Yes,No,94.0,5,90.9
INT-01735,2025-01-27,Agent_20,Product Defect,Medium,Phone,42.0,35.7,Resolved,Yes,No,98.1,5,90.4
INT-03348,2025-01-28,Agent_14,App Crash,Low,Phone,93.5,35.7,In Progress,No,No,79.2,5,87.5
INT-03785,2025-01-28,Agent_19,Payment Issue,Medium,Phone,116.8,29.0,Resolved,Yes,No,96.6,5,94.4
INT-00861,2025-01-28,Agent_10,Login Issue,High,Chat,55.3,56.1,Resolved,No,No,69.0,4,88.2
INT-00310,2025-01-28,Agent_01,Refund Issue,Low,WhatsApp,83.9,30.2,Resolved,Yes,No,82.9,5,84.4
INT-02523,2025-01-28,Agent_16,Delivery Delay,Critical,Phone,100.0,55.0,Resolved,Yes,No,78.3,4,93.2
INT-03376,2025-01-28,Agent_16,App Crash,Medium,Phone,210.1,36.0,Resolved,Yes,No,82.3,4,89.9
INT-00879,2025-01-28,Agent_02,Delivery Delay,Medium,Phone,183.6,41.9,Escalated,Yes,Yes,64.6,3,80.7
INT-01978,2025-01-28,Agent_13,Delivery Delay,Medium,Phone,136.3,63.5,Resolved,No,No,71.7,4,97.6
INT-03817,2025-01-28,Agent_14,Account Blocked,Low,WhatsApp,34.8,30.2,In Progress,Yes,No,92.9,5,94.9
INT-01592,2025-01-28,Agent_20,Login Issue,Low,Phone,43.8,14.6,Resolved,Yes,No,94.3,5,99.8
INT-00155,2025-01-28,Agent_08,Account Blocked,Medium,Chat,64.3,33.2,Resolved,Yes,No,79.6,4,97.3
INT-00154,2025-01-28,Agent_17,Refund Issue,Medium,Email,59.2,27.6,Resolved,Yes,No,83.2,4,94.1
INT-00560,2025-01-28,Agent_11,Product Defect,Medium,WhatsApp,53.4,54.0,Resolved,No,No,72.7,4,90.7
INT-04918,2025-01-28,Agent_11,Account Blocked,Medium,Chat,124.0,69.0,Resolved,No,No,80.3,4,100.0
INT-03225,2025-01-28,Agent_13,Payment Issue,Medium,Chat,75.6,16.5,Resolved,Yes,No,84.6,5,88.9
INT-00148,2025-01-28,Agent_17,Product Defect,Critical,WhatsApp,89.4,51.7,Resolved,No,No,85.7,5,84.8
INT-02897,2025-01-28,Agent_18,Account Blocked,Low,Email,45.3,17.7,In Progress,Yes,No,93.5,5,92.9
INT-04836,2025-01-28,Agent_08,Delivery Delay,Medium,WhatsApp,161.3,69.0,Resolved,Yes,No,85.4,5,94.4
INT-04409,2025-01-28,Agent_01,Login Issue,High,Chat,139.6,41.7,Resolved,No,No,63.3,4,77.4
INT-03813,2025-01-28,Agent_05,App Crash,Low,WhatsApp,21.7,49.8,Resolved,No,No,70.4,4,88.5
INT-00684,2025-01-28,Agent_12,Payment Issue,Medium,Phone,45.8,26.7,Resolved,Yes,No,79.9,4,89.4
INT-04623,2025-01-28,Agent_19,Payment Issue,High,Chat,82.0,45.8,Resolved,Yes,No,92.1,5,91.0
INT-02557,2025-01-28,Agent_01,Account Blocked,Medium,Phone,116.7,23.1,Escalated,Yes,Yes,66.9,3,86.7
INT-01949,2025-01-28,Agent_11,Product Defect,High,Chat,61.5,37.5,Resolved,Yes,No,87.3,4,90.9
INT-03141,2025-01-28,Agent_18,Refund Issue,High,Chat,48.4,53.9,Resolved,Yes,No,80.5,4,95.9
INT-03522,2025-01-28,Agent_08,Payment Issue,Medium,Email,92.0,24.0,In Progress,Yes,No,83.4,5,89.5
INT-03912,2025-01-28,Agent_15,Account Blocked,High,Phone,203.8,59.2,Escalated,Yes,Yes,72.1,3,89.3
INT-02951,2025-01-28,Agent_16,Payment Issue,Medium,Chat,87.4,41.0,Escalated,Yes,No,90.0,5,91.0
INT-00106,2025-01-28,Agent_17,Product Defect,High,WhatsApp,91.4,71.7,Resolved,Yes,No,78.9,5,89.5
INT-04502,2025-01-28,Agent_10,General Inquiry,High,Email,105.6,33.0,Escalated,No,Yes,64.4,4,84.8
INT-00142,2025-01-29,Agent_10,Refund Issue,Low,Phone,35.4,39.6,In Progress,Yes,No,99.1,5,97.2
INT-02013,2025-01-29,Agent_15,Product Defect,High,WhatsApp,92.2,43.0,In Progress,Yes,No,84.2,5,95.3
INT-00456,2025-01-29,Agent_07,Payment Issue,Low,Chat,103.8,19.3,Resolved,Yes,No,79.2,5,88.5
INT-01277,2025-01-29,Agent_09,Account Blocked,Low,Phone,81.0,20.7,Resolved,Yes,No,90.5,5,89.1
INT-04331,2025-01-29,Agent_15,General Inquiry,High,Phone,53.5,27.4,Escalated,Yes,No,90.7,5,95.7
INT-01359,2025-01-29,Agent_19,Refund Issue,Low,Phone,41.7,15.6,Resolved,No,No,87.7,5,100.0
INT-04904,2025-01-29,Agent_05,Product Defect,Low,Phone,56.8,48.8,Resolved,Yes,No,92.3,4,91.6
INT-00602,2025-01-29,Agent_19,Delivery Delay,High,Chat,114.6,88.7,Escalated,No,No,74.1,4,95.9
INT-04595,2025-01-29,Agent_03,General Inquiry,Medium,WhatsApp,86.2,18.4,In Progress,Yes,No,93.2,5,97.2
INT-02641,2025-01-29,Agent_19,Login Issue,Medium,Chat,69.5,33.1,Resolved,Yes,No,91.2,5,98.4
INT-01702,2025-01-29,Agent_09,App Crash,High,Email,43.0,39.8,Resolved,No,No,67.0,4,95.8
INT-04989,2025-01-29,Agent_04,Refund Issue,Medium,WhatsApp,39.1,27.8,Escalated,Yes,Yes,70.3,3,83.7
INT-00787,2025-01-29,Agent_12,Payment Issue,Low,Phone,49.7,27.4,Escalated,Yes,Yes,80.4,4,88.5
INT-02644,2025-01-29,Agent_08,App Crash,Medium,WhatsApp,56.4,20.4,Resolved,Yes,No,76.4,5,95.1
INT-01679,2025-01-29,Agent_15,App Crash,Medium,Email,182.4,56.3,Resolved,No,No,71.5,4,89.7
INT-01313,2025-01-29,Agent_04,Delivery Delay,Low,Email,75.3,21.8,In Progress,Yes,No,85.3,5,95.4
INT-01684,2025-01-29,Agent_09,General Inquiry,Low,Chat,25.1,7.8,Resolved,Yes,No,96.1,5,86.7
INT-04676,2025-01-29,Agent_11,Payment Issue,Medium,Email,69.7,35.8,Resolved,Yes,No,94.6,5,88.0
INT-03996,2025-01-29,Agent_18,Account Blocked,Medium,Phone,54.1,42.8,Resolved,Yes,No,91.2,4,93.7
INT-03338,2025-01-29,Agent_11,Account Blocked,Low,WhatsApp,42.9,21.6,Resolved,Yes,No,88.7,5,89.5
INT-01695,2025-01-29,Agent_01,App Crash,Low,Chat,57.6,96.0,Resolved,Yes,No,74.5,4,82.5
INT-01207,2025-01-29,Agent_16,General Inquiry,Low,Email,40.6,12.0,Resolved,Yes,No,100.0,5,94.9
INT-04766,2025-01-29,Agent_17,Delivery Delay,Medium,Phone,64.0,19.9,Escalated,Yes,No,84.5,5,94.4
INT-01572,2025-01-29,Agent_20,Payment Issue,Low,Phone,47.6,25.8,Resolved,Yes,No,87.7,5,96.9
INT-01182,2025-01-29,Agent_08,Login Issue,Medium,Phone,65.7,23.2,Resolved,Yes,No,76.7,5,90.1
INT-03852,2025-01-29,Agent_17,Payment Issue,Low,Phone,125.9,41.4,Resolved,Yes,No,88.5,5,88.2
INT-01999,2025-01-29,Agent_02,Refund Issue,Low,Chat,153.7,16.7,Resolved,Yes,No,84.2,5,100.0
INT-02518,2025-01-29,Agent_03,General Inquiry,Critical,Chat,120.1,28.1,Resolved,Yes,No,76.2,4,89.4
INT-01133,2025-01-29,Agent_13,Product Defect,Critical,Chat,100.7,91.2,Resolved,No,No,58.2,4,89.2
INT-03470,2025-01-29,Agent_02,Payment Issue,Low,Chat,68.0,14.1,In Progress,Yes,No,83.9,4,85.0
INT-00504,2025-01-29,Agent_03,Refund Issue,High,Phone,133.2,59.0,Escalated,No,No,63.7,4,82.2
INT-01483,2025-01-29,Agent_02,Payment Issue,Critical,Email,81.6,40.7,Resolved,No,No,51.2,4,77.4
INT-02751,2025-01-30,Agent_18,Payment Issue,High,Email,47.0,33.9,Resolved,Yes,No,95.8,5,97.0
INT-03158,2025-01-30,Agent_20,Product Defect,Medium,Email,66.5,40.7,Resolved,Yes,No,94.4,5,99.0
INT-03705,2025-01-30,Agent_11,Payment Issue,Medium,Phone,75.8,25.2,Resolved,Yes,No,78.7,5,91.1
INT-02321,2025-01-30,Agent_07,Account Blocked,High,Email,117.5,61.1,Resolved,No,No,61.7,4,91.8
INT-04706,2025-01-30,Agent_18,Payment Issue,High,Email,83.4,96.0,In Progress,Yes,No,85.3,5,92.2
INT-03123,2025-01-30,Agent_07,Refund Issue,High,Chat,153.5,58.6,Escalated,Yes,Yes,69.1,3,88.6
INT-02332,2025-01-30,Agent_09,Payment Issue,Medium,Email,67.0,30.5,Resolved,Yes,No,83.4,4,90.4
INT-00545,2025-01-30,Agent_07,Login Issue,Low,Phone,47.7,11.1,Resolved,Yes,No,92.3,5,89.5
INT-03387,2025-01-30,Agent_11,Login Issue,Medium,Phone,46.3,14.9,Escalated,Yes,No,100.0,5,90.7
INT-03054,2025-01-30,Agent_20,Account Blocked,Low,Phone,72.1,11.8,Resolved,Yes,No,100.0,5,97.3
INT-01018,2025-01-30,Agent_07,Refund Issue,Low,Phone,44.2,44.3,Resolved,Yes,No,89.2,5,85.2
INT-04171,2025-01-30,Agent_02,Payment Issue,High,Phone,88.3,30.9,Resolved,Yes,No,73.0,4,83.5
INT-02299,2025-01-30,Agent_03,App Crash,Critical,Phone,98.8,55.7,Resolved,No,No,67.7,3,85.0
INT-02661,2025-01-30,Agent_02,Login Issue,High,Phone,117.1,52.1,Resolved,Yes,No,70.0,4,86.4
INT-03457,2025-01-30,Agent_17,General Inquiry,Medium,Chat,67.9,21.0,Escalated,No,No,89.5,5,89.9
INT-00782,2025-01-30,Agent_15,Refund Issue,Medium,Chat,70.6,65.4,Escalated,Yes,No,88.7,5,96.9
INT-00159,2025-01-30,Agent_08,General Inquiry,High,Email,122.9,25.2,Resolved,Yes,No,82.7,4,85.9
INT-00308,2025-01-30,Agent_17,General Inquiry,Critical,Chat,87.3,54.8,In Progress,Yes,No,92.2,5,91.8
INT-00775,2025-01-30,Agent_12,App Crash,High,Phone,63.4,39.9,In Progress,Yes,No,87.4,5,96.0
INT-00701,2025-01-30,Agent_20,General Inquiry,Critical,Phone,133.5,65.1,In Progress,No,No,86.7,5,84.9
INT-03613,2025-01-30,Agent_17,Login Issue,Low,Email,124.2,8.0,Resolved,Yes,No,87.0,4,85.8
INT-03603,2025-01-30,Agent_17,Payment Issue,Critical,Phone,113.6,36.7,Escalated,Yes,No,85.9,4,86.8
INT-01210,2025-01-30,Agent_09,Product Defect,Low,Phone,75.6,21.0,Resolved,No,No,73.3,4,94.0
INT-02058,2025-01-31,Agent_20,Account Blocked,Medium,Chat,100.2,22.8,Resolved,Yes,No,93.5,5,89.0
INT-01129,2025-01-31,Agent_06,Account Blocked,Medium,Phone,53.9,54.4,Resolved,No,No,72.8,4,92.2
INT-04188,2025-01-31,Agent_11,Account Blocked,Medium,WhatsApp,53.9,78.3,Escalated,Yes,No,84.1,5,94.5
INT-03795,2025-01-31,Agent_01,Account Blocked,High,WhatsApp,55.0,49.4,Resolved,Yes,No,68.1,4,87.4
INT-03588,2025-01-31,Agent_20,Account Blocked,High,WhatsApp,92.3,39.5,Resolved,Yes,No,93.1,5,94.9
INT-01630,2025-01-31,Agent_01,Login Issue,Low,WhatsApp,49.2,63.3,Escalated,Yes,No,78.8,5,88.2
INT-00928,2025-01-31,Agent_16,Delivery Delay,High,Phone,99.3,49.9,Resolved,Yes,No,74.5,5,88.4
INT-04871,2025-01-31,Agent_13,General Inquiry,Low,Chat,103.8,10.9,Resolved,Yes,No,98.9,5,91.2
INT-02825,2025-01-31,Agent_18,General Inquiry,Low,WhatsApp,19.6,34.7,Resolved,Yes,No,99.1,5,97.6
INT-01338,2025-01-31,Agent_03,Login Issue,Low,Chat,102.1,9.5,In Progress,Yes,No,87.7,4,96.1
INT-03686,2025-01-31,Agent_05,App Crash,Low,Email,81.3,16.4,In Progress,Yes,No,84.1,4,93.6
INT-01958,2025-01-31,Agent_15,Delivery Delay,High,Email,54.3,50.5,Resolved,Yes,No,78.6,5,96.9
INT-03434,2025-01-31,Agent_02,Refund Issue,Low,Chat,121.1,37.8,Resolved,Yes,No,78.3,4,88.2
INT-02430,2025-01-31,Agent_08,Payment Issue,Medium,Chat,27.0,53.6,Resolved,Yes,No,78.8,5,89.4
INT-02306,2025-01-31,Agent_19,Login Issue,High,WhatsApp,80.8,59.2,Resolved,Yes,No,90.9,5,99.0
INT-02418,2025-01-31,Agent_16,Account Blocked,High,Chat,100.6,40.8,In Progress,Yes,No,88.7,5,94.6
INT-01238,2025-02-01,Agent_17,Account Blocked,Low,WhatsApp,94.2,29.5,Resolved,Yes,No,91.7,4,94.3
INT-02614,2025-02-01,Agent_06,Refund Issue,Medium,Chat,67.6,27.3,Resolved,Yes,No,78.1,5,91.0
INT-03010,2025-02-01,Agent_18,Login Issue,Medium,WhatsApp,39.8,69.7,Resolved,Yes,No,89.0,5,91.7
INT-03390,2025-02-01,Agent_07,Delivery Delay,Medium,Chat,146.0,29.5,Resolved,No,No,73.0,4,93.6
INT-01871,2025-02-01,Agent_14,Product Defect,Medium,Phone,67.2,35.4,Resolved,Yes,No,90.9,5,94.4
INT-02932,2025-02-01,Agent_12,Payment Issue,Low,Chat,108.5,23.7,Resolved,Yes,No,99.8,5,97.4
INT-04243,2025-02-01,Agent_18,Delivery Delay,Medium,Email,31.2,37.0,Resolved,Yes,No,94.6,5,90.8
INT-02413,2025-02-01,Agent_03,Account Blocked,Medium,WhatsApp,178.6,76.6,Resolved,No,No,57.9,3,93.4
INT-03911,2025-02-01,Agent_06,Product Defect,Medium,WhatsApp,38.4,27.4,Resolved,Yes,No,81.2,4,87.7
INT-04425,2025-02-01,Agent_20,Refund Issue,Medium,Phone,117.3,37.1,Resolved,Yes,No,92.7,4,92.1
INT-00744,2025-02-01,Agent_14,Login Issue,Medium,WhatsApp,130.6,28.5,Resolved,Yes,No,89.0,5,92.8
INT-01706,2025-02-01,Agent_01,Account Blocked,Critical,Chat,121.9,75.0,Resolved,No,No,56.6,4,93.4
INT-02597,2025-02-01,Agent_16,Delivery Delay,Medium,WhatsApp,85.9,34.3,In Progress,Yes,No,84.9,5,98.4
INT-02598,2025-02-01,Agent_05,Refund Issue,Critical,Phone,108.6,58.4,In Progress,No,No,67.1,4,91.8
INT-04566,2025-02-01,Agent_20,Account Blocked,Medium,Phone,41.0,32.3,Resolved,Yes,No,92.0,4,98.3
INT-00347,2025-02-01,Agent_08,Login Issue,Low,Phone,77.2,33.6,Resolved,Yes,No,86.8,5,89.8
INT-04190,2025-02-01,Agent_08,Delivery Delay,Medium,Phone,35.8,69.8,Resolved,Yes,No,77.4,5,97.9
INT-03689,2025-02-01,Agent_08,Login Issue,Medium,Phone,67.7,19.0,In Progress,Yes,No,75.9,5,92.4
INT-02336,2025-02-01,Agent_03,Product Defect,Medium,Phone,133.4,35.7,Escalated,No,No,67.6,4,86.5
INT-01231,2025-02-01,Agent_02,Login Issue,High,Chat,48.6,25.7,Resolved,Yes,No,78.9,4,90.3
INT-00383,2025-02-01,Agent_16,Login Issue,Medium,Email,88.0,59.4,Resolved,Yes,No,93.1,5,96.7
INT-04931,2025-02-01,Agent_14,Payment Issue,Medium,Chat,75.2,27.9,Resolved,No,No,91.1,4,90.0
